Match,,Second.SampleID,First.SampleID,X,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.SampleID_dd,Second.SampleID_dd,First.Lat,First.Lon,First.Type.o,First.Anem_ID,First.Date,First.Size,First.Size_type,First.Tail_color,First.Age,First.Sex,First.Collector,First.Notes,First.mass_g,Second.Lat,Second.Lon,Second.Type.o,Second.Anem_ID,Second.Date,Second.Size,Second.Size_type,Second.Tail_color,Second.Age,Second.Sex,Second.Collector,Second.Notes,Second.mass_g,distkm
diff year diff anem,64,APCL14_153,APCL13_584,60,APCL_13584L0677,265,APCL_14155L0730,265,249,16,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"same year, large dist",25,APCL13_318,APCL13_098,24,APCL_13098L1069,117,APCL_13318L0348,265,91,26,0,0,Fuzzy match,2013,2013,APCL_13098,APCL_13318,10.8064623,124.766024,NA,54,5/25/13,3.5,FL,YR,L,NA,MLP,NA,NA,10.8689085,124.7164298,NA,151,5/28/13,6.8,FL,YR,L,NA,MLP,NA,NA,8.806298028
"same year, large dist",94,APCL14_500,APCL14_442,99,APCL_14442L1732,265,APCL_14498L0969,250,238,12,0,0,Fuzzy match,2014,2014,APCL_14442,APCL_14498,10.871634,124.714112,NA,667,6/24/14,5,FL,WR,L,NA,MRS,NA,NA,10.809252,124.765348,NA,699,6/28/14,8.8,FL,YR,L,NA,MRS,NA,NA,8.912108724
"diff year, diff anem",90,APCL14_445,APCL13_351,45,APCL_13351L0370,265,APCL_14445L0742,265,249,16,0,0,Fuzzy match,2013,2014,APCL_13351,APCL_14445,10.8584133,124.7244405,NA,205,5/29/13,3.6,FL,YR,L,NA,MLP,NA,NA,10.871446,124.71402,NA,669,6/24/14,4.2,FL,YR,L,NA,MRS,NA,NA,1.84255055
"same year, large dist",23,APCL13_209,APCL13_098,23,APCL_13098L1069,117,APCL_13209L1048,226,84,27,0,0,Fuzzy match,2013,2013,APCL_13098,APCL_13209,10.8064623,124.766024,NA,54,5/25/13,3.5,FL,YR,L,NA,MLP,NA,NA,10.8732105,124.7120845,NA,115,5/27/13,8.3,FL,O,A,NA,MLP,209 may have been sampled already,NA,9.475666644
diff year_large dist,54,APCL14_088,APCL13_654,77,APCL_13654L0697,264,APCL_14088L0922,265,252,12,0,0,Fuzzy match,2013,2014,APCL_13654,APCL_14088,10.8611258,124.721478,NA,365,6/4/13,3.1,FL,W,L,NA,MLP,NA,NA,10.872858,124.711873,NA,427,6/13/14,8.9,FL,YP,A,NA,MLP,NA,NA,1.673922988
MATCH_re-genotyped,33,APCL13_584,APCL13_584,59,APCL_13584L0677,265,APCL_13584L1736,263,250,13,0,0,Fuzzy match,2013,2013,APCL_13584,APCL_13584,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,0
"same year, large dist",29,APCL13_357,APCL13_079,15,APCL_13079L1058,227,APCL_13357L1651,265,206,21,0,0,Fuzzy match,2013,2013,APCL_13079,APCL_13357,10.7689558,124.7836465,NA,45,5/24/13,3.4,FL,YR,L,NA,MLP,NA,NA,10.8584178,124.7243598,NA,208,5/29/13,3,FL,YR,L,NA,MLP,NA,NA,11.86957661
"same year, large dist",96,APCL14_511,APCL14_253,84,APCL_14255L1742,262,APCL_14509L1705,265,249,13,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14509,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,10.76727,124.784808,NA,705,6/29/14,7,FL,O,A,NA,MRS,NA,NA,14.84598082
diff year_large dist,100,APCL14_555,APCL13_362,46,APCL_13362L0377,265,APCL_14553L0974,263,249,14,0,0,Fuzzy match,2013,2014,APCL_13362,APCL_14553,10.860759,124.7220953,NA,212,5/29/13,3.8,FL,YR,L,NA,MLP,NA,NA,10.874248,124.710918,NA,731,7/2/14,3.6,FL,YR,L,NA,MRS,NA,NA,1.933782482
"diff year, diff anem",65,APCL14_244,APCL13_653,76,APCL_13653L0696,265,APCL_14246L0712,265,251,14,0,0,Fuzzy match,2013,2014,APCL_13653,APCL_14246,10.8611258,124.721478,NA,365,6/4/13,3.6,FL,YR,L,NA,MLP,NA,NA,10.861272,124.721466,NA,NA,6/18/14,8.1,FL,O,A,NA,MRS,NA,NA,0.016309265
MATCH_re-genotyped,32,APCL13_565,APCL13_565,53,APCL_13565L0670,265,APCL_13565L1735,265,252,13,0,0,Fuzzy match,2013,2013,APCL_13565,APCL_13565,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,0
MATCH_re-genotyped,50,APCL14_049,APCL14_049,80,APCL_14049L0726,265,APCL_14049L1740,265,252,13,0,0,Fuzzy match,2014,2014,APCL_14049,APCL_14049,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,0.000134259
diff year_large dist,93,APCL14_489,APCL13_461,50,APCL_13461L0466,204,APCL_14489L1677,265,180,24,0,0,Fuzzy match,2013,2014,APCL_13461,APCL_14489,10.8737835,124.710859,NA,NA,5/31/13,10.4,FL,YP,A,NA,MLP,fish were not close to any visible anem,NA,10.857641,124.725062,NA,674,6/26/14,4.3,FL,WR,L,NA,MRS,NA,NA,2.372226352
diff year_large dist,56,APCL14_097,APCL13_091,22,APCL_13091L1065,232,APCL_14097L1233,265,211,21,0,0,Fuzzy match,2013,2014,APCL_13091,APCL_14097,10.8063178,124.7660638,NA,52,5/25/13,8.2,FL,YP,A,NA,MLP,NA,NA,10.873067,124.712098,NA,430,6/13/14,10.1,FL,YP,A,NA,MLP,Seems unlikely that both of the large YPs are really from this anemone.,NA,9.477541356
"same year, large dist",98,APCL14_511,APCL14_253,83,APCL_14255L0737,265,APCL_14509L1705,265,252,13,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14509,10.634,124.776612,NA,534,6/22/14,9.3,FL,O,A,NA,MRS,NA,NA,10.76727,124.784808,NA,705,6/29/14,7,FL,O,A,NA,MRS,NA,NA,14.84598082
MATCH_re-genotyped,26,APCL13_333,APCL13_333,42,APCL_13333L0357,265,APCL_13333L1721,265,253,12,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13333,10.8553445,124.7268745,NA,195,5/29/13,6.9,FL,YP,A,NA,MLP,NA,NA,10.8553445,124.7268745,NA,195,5/29/13,6.9,FL,YP,A,NA,MLP,NA,NA,0
"same year, large dist",99,APCL14_520,APCL14_315,89,APCL_14317L1743,265,APCL_14518L1708,179,156,23,0,0,Fuzzy match,2014,2014,APCL_14317,APCL_14518,10.635201,124.776152,NA,575,6/22/14,8.4,FL,O,A,NA,MRS,NA,NA,10.769081,124.783681,NA,712,6/29/14,7.3,FL,O,A,NA,MRS,NA,NA,14.90948804
diff year_large dist,73,APCL14_306,APCL13_048,5,APCL_13048L1596,265,APCL_14303L0595,244,219,25,0,0,Fuzzy match,2013,2014,APCL_13048,APCL_14303,10.7562858,124.7857988,NA,29,5/23/13,4,FL,W,L,NA,MLP,NA,NA,10.635034,124.776224,NA,567,6/22/14,8.2,FL,Y,L,NA,MRS,NA,NA,13.52311262
diff year_large dist,97,APCL14_511,APCL13_587,70,APCL_13587L1737,265,APCL_14509L1705,265,247,18,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14509,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.76727,124.784808,NA,705,6/29/14,7,FL,O,A,NA,MRS,NA,NA,14.84340966
"diff year, diff anem",39,APCL14_006,APCL13_089,20,APCL_13089L0424,265,APCL_14006L0722,265,254,11,0,0,Fuzzy match,2013,2014,APCL_13089,APCL_14006,10.7440008,124.7863023,NA,51,5/24/13,7.9,FL,O,A,NA,MLP,NA,NA,10.742899,124.787067,NA,284,6/7/14,8.8,FL,O,A,NA,MLP,NA,NA,0.148286231
diff year_large dist,95,APCL14_511,APCL13_587,67,APCL_13587L0678,265,APCL_14509L1705,265,255,10,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14509,10.6340205,124.776657,NA,321,6/3/13,9.1,FL,O,A,NA,MLP,"dark fish, took photos",NA,10.76727,124.784808,NA,705,6/29/14,7,FL,O,A,NA,MRS,NA,NA,14.84340966
diff year_large dist,41,APCL14_007,APCL13_205,36,APCL_13205L0443,265,APCL_14007L0945,263,241,22,0,0,Fuzzy match,2013,2014,APCL_13205,APCL_14007,10.873306,124.7120103,NA,113,5/27/13,10.3,FL,YP,A,NA,MLP,NA,NA,10.742899,124.787067,NA,284,6/7/14,10.2,FL,YP,A,NA,MLP,NA,NA,16.65750308
diff year_large dist,60,APCL14_140,APCL13_187,34,APCL_13187L1621,264,APCL_14141L0728,265,254,10,0,0,Fuzzy match,2013,2014,APCL_13187,APCL_14141,10.874049,124.7110515,NA,105,5/27/13,10.1,FL,O,A,NA,MLP,NA,NA,10.633544,124.776873,NA,457,6/16/14,7.8,FL,O,A,NA,MRS,"Anemone sample tube was originally unlabeled. #561 was added on August 5, 2014.",NA,27.69273448
diff year_large dist,57,APCL14_126,APCL13_150,31,APCL_13150L1101,265,APCL_14126L1321,250,238,12,0,0,Fuzzy match,2013,2014,APCL_13150,APCL_14126,10.640803,124.785089,NA,85,5/26/13,3.2,FL,YR,L,NA,MLP,NA,NA,NA,NA,NA,450,6/16/14,8.1,FL,O,A,NA,MRS,NA,NA,NA
diff year_large dist,62,APCL14_153,APCL13_584,62,APCL_13584L1736,263,APCL_14155L0730,265,242,21,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diff year_large dist,63,APCL14_153,APCL13_584,63,APCL_13584L1736,263,APCL_14155L1741,265,245,18,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,10.6339953,124.7767205,NA,320,6/3/13,8.2,FL,O,A,NA,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"same year, large dist",31,APCL13_461,APCL13_005,2,APCL_13005L0455,197,APCL_13461L1676,265,177,20,0,0,Fuzzy match,2013,2013,APCL_13005,APCL_13461,10.7449643,124.7857575,NA,4,5/22/13,7.8,FL,Y,L,NA,MLP,NA,0.0145,10.8737835,124.710859,NA,NA,5/31/13,10.4,FL,YP,A,NA,MLP,fish were not close to any visible anem,NA,16.49544473
diff year_large dist,58,APCL14_126,APCL13_150,32,APCL_13150L1101,265,APCL_14126L1701,265,252,13,0,0,Fuzzy match,2013,2014,APCL_13150,APCL_14126,10.640803,124.785089,NA,85,5/26/13,3.2,FL,YR,L,NA,MLP,NA,NA,NA,NA,NA,450,6/16/14,8.1,FL,O,A,NA,MRS,NA,NA,NA
"same year, large dist",19,APCL13_176,APCL13_100,25,APCL_13100L1070,220,APCL_13176L1618,265,195,25,0,0,Fuzzy match,2013,2013,APCL_13100,APCL_13176,10.8108175,124.764718,NA,56,5/25/13,6.8,FL,YP,A,NA,MLP,NA,NA,10.633411,124.7769295,NA,98,5/26/13,10.3,FL,O,A,NA,MLP,NA,NA,19.77176665
